"persona","cognome","nome","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p200200","CAVAZZUTI","FILIPPO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200201","CAVITELLI","GIORGIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200204","CECCATO","GIUSEPPE","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200206","CECCHI GORI","VITTORIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200213","CIMINO","FRANCESCO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200213","CIMINO","FRANCESCO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200220","COCCIU","MARIO GIACOMO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200221","COCO","GIOVANNI SILVESTRO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200221","COCO","GIOVANNI SILVESTRO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200224","COLOMBO SVEVO","MARIA PAOLA","19910327","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200224","COLOMBO SVEVO","MARIA PAOLA","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200225","COLOMBO","VITTORINO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200225","COLOMBO","VITTORINO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200227","CONDARCURI","VIRGILIO","19920423","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200228","CONDORELLI","MARIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200228","CONDORELLI","MARIO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200231","CONTESTABILE","DOMENICO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200232","CONTI","MARCO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200234","COPPI","ANTONIO MICHELE","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200235","CORASANITI","ALDO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200236","CORMEGNA","GILBERTO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200238","CORRAO","LUDOVICO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200240","CORSI ZEFFIRELLI","GIANFRANCO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200246","COSSIGA","FRANCESCO","19920428","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200246","COSSIGA","FRANCESCO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200249","COSTA","ROSARIO GIORGIO","19940415","19960508"
"http://dati.camera.it/ocd/persona.rdf/p200250","COSTALLI","CARLO","19940112","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200251","COVATTA","LUIGI","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200251","COVATTA","LUIGI","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200252","COVELLO","FRANCESCO ALBERTO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200252","COVELLO","FRANCESCO ALBERTO","19920405","19940414"
"http://dati.camera.it/ocd/persona.rdf/p200253","COVI","GIORGIO TULLIO","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p200253","COVI","GIORGIO TULLIO","19920405","19940414"
