"persona","cognome","nome","info","inizioMandato","fineMandato"
"http://dati.camera.it/ocd/persona.rdf/p16850","TASSONE","MARIO","Laurea in giurisprudenza; avvocato","20060421","20080428"
"http://dati.camera.it/ocd/persona.rdf/p16850","TASSONE","MARIO","Laurea in giurisprudenza;  Avvocato amministrativista","20080429","20130314"
"http://dati.camera.it/ocd/persona.rdf/p16890","TESTA","ANTONIO","Laurea in giurisprudenza; avvocato","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16890","TESTA","ANTONIO","Laurea in giurisprudenza; avvocato","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p16900","TIRABOSCHI","ANGELO","Funzionario di partito","19870626","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16900","TIRABOSCHI","ANGELO","Funzionario di partito","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1690","CICCARDINI","BARTOLOMEO","Laurea in giurisprudenza; pubblicista.","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p16970","USELLINI","MARIO","Laurea in scienze economiche e commerciali; imprenditore","19870623","19920422"
"http://dati.camera.it/ocd/persona.rdf/p17020","VIZZINI","CARLO","Laurea in giurisprudenza; docente universitario","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p17020","VIZZINI","CARLO","Laurea in giurisprudenza; docente universitario","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p17030","ZAMBON","BRUNO","Agricoltore","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p17030","ZAMBON","BRUNO","Agricoltore","19920415","19940414"
"http://dati.camera.it/ocd/persona.rdf/p17040","ZANIBONI","ANTONINO","Laurea in lettere; insegnante","19870625","19920422"
"http://dati.camera.it/ocd/persona.rdf/p17050","ZANONE","VALERIO","Laurea in lettere; giornalista.","19870702","19901108"
"http://dati.camera.it/ocd/persona.rdf/p17050","ZANONE","VALERIO","Laurea in lettere; giornalista.","19920416","19940414"
"http://dati.camera.it/ocd/persona.rdf/p17060","ZARRO","GIOVANNI","Laurea in giurisprudenza; avvocato","19870629","19920422"
"http://dati.camera.it/ocd/persona.rdf/p17060","ZARRO","GIOVANNI","Laurea in giurisprudenza; avvocato","19920418","19940414"
"http://dati.camera.it/ocd/persona.rdf/p170","ALTISSIMO","RENATO","Laurea in scienze politiche; dirigente d'azienda","19870629","19920422"
"http://dati.camera.it/ocd/persona.rdf/p170","ALTISSIMO","RENATO","Laurea in scienze politiche; dirigente d'azienda","19920422","19940414"
"http://dati.camera.it/ocd/persona.rdf/p17110","ZUECH","GIUSEPPE","Agricoltore","19870627","19920422"
"http://dati.camera.it/ocd/persona.rdf/p17440","STEGAGNINI","BRUNO","Militare","19870702","19920422"
"http://dati.camera.it/ocd/persona.rdf/p17550","SEPPIA","MAURO","Licenza media superiore; funzionario di partito.","19870624","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1770","COLOMBO","EMILIO","Laurea in giurisprudenza;","19870624","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1770","COLOMBO","EMILIO","Laurea in giurisprudenza;","19920415","19920909"
"http://dati.camera.it/ocd/persona.rdf/p17880","BERLINGUER","LUIGI","Laurea in giurisprudenza; docente universitario.","19940405","19960508"
"http://dati.camera.it/ocd/persona.rdf/p17880","BERLINGUER","LUIGI","Laurea in giurisprudenza; docente universitario.","19960428","20010529"
"http://dati.camera.it/ocd/persona.rdf/p1790","COLUCCI","FRANCESCO","Licenza commerciale; dirigente","19870623","19920422"
"http://dati.camera.it/ocd/persona.rdf/p1790","COLUCCI","FRANCESCO","Licenza commerciale; dirigente","19920417","19940414"
"http://dati.camera.it/ocd/persona.rdf/p1790","COLUCCI","FRANCESCO","Licenza commerciale; dirigente","20010525","20060427"
"http://dati.camera.it/ocd/persona.rdf/p1790","COLUCCI","FRANCESCO","Licenza commerciale; dirigente","20060421","20080428"
